constituency_id,constituency_name,prs_size,wage_to_house_price,uc_housing,housing_perc_on_uc,total_hb_incl_social,majority,,
E14000563,"Birmingham, Hodge Hill",0.15,5.9,3258,0.29,11097,31026,E14000563,"Birmingham, Hodge Hill"
E14000564,"Birmingham, Ladywood",0.30,6.7,4754,0.29,16639,28714,E14000564,"Birmingham, Ladywood"
E14000565,"Birmingham, Northfield",0.10,6.1,3174,0.33,9529,4667,E14000565,"Birmingham, Northfield"
E14000566,"Birmingham, Perry Barr",0.18,6.2,2578,0.28,9289,18383,E14000566,"Birmingham, Perry Barr"
E14000567,"Birmingham, Selly Oak",0.19,6.3,2141,0.30,7175,15207,E14000567,"Birmingham, Selly Oak"
E14000568,"Birmingham, Yardley",0.16,6.5,2769,0.30,9083,16574,E14000568,"Birmingham, Yardley"
E14000569,Bishop Auckland,0.14,4.6,2468,0.40,6152,502,E14000569,Bishop Auckland
E14000570,Blackburn,0.15,4.6,3441,0.42,8110,20368,E14000570,Blackburn
E14000571,Blackley and Broughton,0.24,5.3,3894,0.28,13754,19601,E14000571,Blackley and Broughton
E14000572,Blackpool North and Cleveleys,0.20,5,1941,0.28,7027,2023,E14000572,Blackpool North and Cleveleys
E14000573,Blackpool South,0.29,4.6,2871,0.31,9326,2523,E14000573,Blackpool South
E14000574,Blaydon,0.09,5.4,2060,0.45,4600,13477,E14000574,Blaydon
E14000575,Blyth Valley,0.10,5.2,1329,0.25,5331,7915,E14000575,Blyth Valley
E14000576,Bognor Regis and Littlehampton,0.18,11.2,1550,0.29,5353,17494,E14000576,Bognor Regis and Littlehampton
E14000577,Bolsover,0.12,5.1,1500,0.32,4647,5288,E14000577,Bolsover
E14000578,Bolton North East,0.15,5.4,2138,0.29,7363,3797,E14000578,Bolton North East
E14000579,Bolton South East,0.15,4.6,2201,0.28,7802,13126,E14000579,Bolton South East
E14000580,Bolton West,0.11,5.2,1467,0.34,4334,936,E14000580,Bolton West
E14000581,Bootle,0.14,4.7,4518,0.43,10437,36200,E14000581,Bootle
E14000582,Boston and Skegness,0.18,6.7,2067,0.34,6056,16572,E14000582,Boston and Skegness
E14000583,Bosworth,0.12,6.7,1803,0.54,3368,18351,E14000583,Bosworth
E14000584,Bournemouth East,0.31,9.1,2823,0.38,7360,7937,E14000584,Bournemouth East
E14000585,Bournemouth West,0.27,9.1,2391,0.38,6260,7711,E14000585,Bournemouth West
E14000586,Bracknell,0.11,8.9,1173,0.32,3689,16016,E14000586,Bracknell
E14000587,Bradford East,0.20,4.4,2722,0.31,8744,20540,E14000587,Bradford East
E14000588,Bradford South,0.17,4.5,2373,0.32,7461,6700,E14000588,Bradford South
E14000589,Bradford West,0.24,4.2,2576,0.33,7696,21902,E14000589,Bradford West
E14000590,Braintree,0.14,9.6,1570,0.41,3791,18422,E14000590,Braintree
E14000591,Brent Central,0.32,15.2,2468,0.14,17082,27997,E14000591,Brent Central
E14000592,Brent North,0.27,15.3,1137,0.14,8055,17061,E14000592,Brent North
E14000593,Brentford and Isleworth,0.27,13.1,4444,0.50,8815,12182,E14000593,Brentford and Isleworth
E14000594,Brentwood and Ongar,0.11,10.6,992,0.37,2698,24002,E14000594,Brentwood and Ongar
E14000595,Bridgwater and West Somerset,0.15,7.5,3554,0.60,5970,15448,E14000595,Bridgwater and West Somerset
E14000596,Brigg and Goole,0.14,5.2,1408,0.43,3283,12363,E14000596,Brigg and Goole
E14000597,"Brighton, Kemptown",0.22,10.1,1974,0.28,7083,9868,E14000597,"Brighton, Kemptown"
E14000598,"Brighton, Pavilion",0.33,11.8,1810,0.30,6130,14699,E14000598,"Brighton, Pavilion"
E14000599,Bristol East,0.20,8.1,1366,0.22,6153,13394,E14000599,Bristol East
E14000600,Bristol North West,0.14,9.8,1290,0.22,5923,4761,E14000600,Bristol North West
E14000601,Bristol South,0.17,8.4,1890,0.24,8009,15987,E14000601,Bristol South
E14000602,Bristol West,0.40,8.8,1898,0.23,8199,37336,E14000602,Bristol West
E14000603,Broadland,0.12,8.8,685,0.25,2789,15816,E14000603,Broadland
E14000604,Bromley and Chislehurst,0.13,10.5,1012,0.23,4469,9590,E14000604,Bromley and Chislehurst
E14000605,Bromsgrove,0.09,8,853,0.32,2701,16573,E14000605,Bromsgrove
E14000606,Broxbourne,0.11,10.9,1468,0.30,4878,15792,E14000606,Broxbourne
E14000607,Broxtowe,0.15,5.7,758,0.25,3048,863,E14000607,Broxtowe
E14000608,Buckingham,0.11,10.8,482,0.22,2235,25725,E14000608,Buckingham
E14000609,Burnley,0.19,3.3,3552,0.51,6972,6353,E14000609,Burnley
E14000610,Burton,0.16,6.3,1093,0.25,4343,10047,E14000610,Burton
E14000611,Bury North,0.13,5.2,1677,0.36,4602,4375,E14000611,Bury North
E14000612,Bury South,0.14,6,1768,0.33,5322,5965,E14000612,Bury South
E14000613,Bury St Edmunds,0.14,9.1,1483,0.38,3864,18441,E14000613,Bury St Edmunds
E14000614,Calder Valley,0.15,5.4,2448,0.49,5018,609,E14000614,Calder Valley
E14000615,Camberwell and Peckham,0.19,15.4,5791,0.46,12517,37316,E14000615,Camberwell and Peckham
E14000616,Camborne and Redruth,0.16,7.8,1545,0.28,5539,1577,E14000616,Camborne and Redruth
E14000617,Cambridge,0.27,13,955,0.19,5061,12661,E14000617,Cambridge
E14000618,Cannock Chase,0.12,5.9,1094,0.25,4376,8391,E14000618,Cannock Chase
E14000619,Canterbury,0.21,9.5,1315,0.28,4692,187,E14000619,Canterbury
E14000620,Carlisle,0.15,5.1,1658,0.36,4654,2599,E14000620,Carlisle
E14000621,Carshalton and Wallington,0.13,10.7,3253,0.55,5911,1369,E14000621,Carshalton and Wallington
E14000622,Castle Point,0.11,9.5,778,0.28,2816,18872,E14000622,Castle Point
E14000623,Central Devon,0.15,9.4,785,0.26,3023,15680,E14000623,Central Devon
E14000624,Central Suffolk and North Ipswich,0.11,8.1,847,0.32,2685,17185,E14000624,Central Suffolk and North Ipswich
E14000625,Charnwood,0.10,7.7,749,0.33,2278,16341,E14000625,Charnwood
E14000626,Chatham and Aylesford,0.15,8,1481,0.25,5835,10458,E14000626,Chatham and Aylesford
E14000627,Cheadle,0.09,8.3,430,0.24,1803,4507,E14000627,Cheadle
E14000628,Chelmsford,0.13,9.6,818,0.19,4411,13572,E14000628,Chelmsford
E14000629,Chelsea and Fulham,0.33,22,2159,0.39,5587,8188,E14000629,Chelsea and Fulham
E14000630,Cheltenham,0.22,8.5,1783,0.38,4644,2569,E14000630,Cheltenham
E14000631,Chesham and Amersham,0.09,15.6,550,0.24,2287,22140,E14000631,Chesham and Amersham
E14000632,Chesterfield,0.13,5.8,2172,0.37,5862,9605,E14000632,Chesterfield
E14000633,Chichester,0.15,10.6,1142,0.28,4051,22621,E14000633,Chichester
E14000634,Chingford and Woodford Green,0.14,11.4,986,0.23,4214,2438,E14000634,Chingford and Woodford Green
E14000635,Chippenham,0.12,9,1722,0.46,3776,16630,E14000635,Chippenham
E14000636,Chipping Barnet,0.19,13.4,1405,0.24,5945,353,E14000636,Chipping Barnet
E14000637,Chorley,0.10,5.1,1571,0.36,4342,7512,E14000637,Chorley
E14000638,Christchurch,0.09,10.5,938,0.35,2644,25171,E14000638,Christchurch
E14000639,Cities Of London and Westminster,0.42,27.5,1147,0.18,6292,3148,E14000639,Cities Of London and Westminster
E14000640,City Of Chester,0.18,6.8,2238,0.47,4765,9176,E14000640,City Of Chester
E14000641,City Of Durham,0.15,4.6,1414,0.33,4345,12364,E14000641,City Of Durham
E14000642,Clacton,0.17,9.2,1814,0.29,6264,15828,E14000642,Clacton
E14000643,Cleethorpes,0.16,4.9,1765,0.44,4006,10400,E14000643,Cleethorpes
E14000644,Colchester,0.23,8.3,1779,0.26,6774,5677,E14000644,Colchester
E14000645,Colne Valley,0.15,5.8,1926,0.41,4753,915,E14000645,Colne Valley
E14000646,Congleton,0.10,6.9,1240,0.42,2987,12619,E14000646,Congleton
E14000647,Copeland,0.09,4.1,1911,0.50,3860,1695,E14000647,Copeland
E14000648,Corby,0.14,7.4,2690,0.50,5354,2690,E14000648,Corby
E14000649,Coventry North East,0.21,6.8,2439,0.27,9139,15580,E14000649,Coventry North East
E14000650,Coventry North West,0.20,6.3,1539,0.28,5482,8580,E14000650,Coventry North West
E14000651,Coventry South,0.21,6.5,1603,0.26,6155,7947,E14000651,Coventry South
E14000652,Crawley,0.15,10,1835,0.28,6512,2457,E14000652,Crawley
E14000653,Crewe and Nantwich,0.15,6.3,2727,0.53,5159,48,E14000653,Crewe and Nantwich
E14000654,Croydon Central,0.20,10.5,5171,0.50,10284,5652,E14000654,Croydon Central
E14000655,Croydon North,0.27,10.9,6716,0.46,14706,32365,E14000655,Croydon North
E14000656,Croydon South,0.15,11.4,2874,0.53,5472,11406,E14000656,Croydon South
E14000657,Dagenham and Rainham,0.14,11,1881,0.25,7540,4652,E14000657,Dagenham and Rainham
E14000658,Darlington,0.19,4.9,2379,0.37,6501,3280,E14000658,Darlington
E14000659,Dartford,0.15,9,1306,0.29,4538,13186,E14000659,Dartford
E14000660,Daventry,0.12,9,1634,0.57,2887,21734,E14000660,Daventry
E14000661,Denton and Reddish,0.13,5.6,1996,0.39,5177,14077,E14000661,Denton and Reddish
E14000662,Derby North,0.18,5.2,1672,0.29,5712,2015,E14000662,Derby North
